favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
50572,Twitter for iPhone,Great @Cabinet meeting at the @WhiteHouse this morning! https://t.co/kzmfovwUeb https://t.co/7AgbwbFNuw,,False,Mon Apr 09 19:32:27 +0000 2018,9677,983427438691708929
52103,Twitter for iPhone,"Thank you Macon, Georgia! Get out on Tuesday, November 6th and VOTE for @BrianKempGA as your next Governor to prote… https://t.co/s5GFglygrw",,False,Sun Nov 04 23:05:44 +0000 2018,13305,1059220177169063941
81814,Twitter for iPhone,I can’t think of something more concerning than a law enforcement officer suggesting that their going to use their… https://t.co/77nLJKxgDK,,False,Tue Jun 19 13:52:06 +0000 2018,19526,1009071326219395073
85837,Twitter for iPhone,So much happening with the now discredited Witch Hunt. This total Hoax will be studied for years!,,False,Thu Nov 29 04:39:03 +0000 2018,19654,1068001369746022400
47391,Twitter for iPhone,I urge all Americans to participate in #takebackday tomorrow! Let’s come together and BEAT last October’s record of… https://t.co/aIwL3BXrAp,,False,Fri Apr 27 19:23:23 +0000 2018,10967,989948140814991360
50075,Twitter for iPhone,"“Presidential Proclamation on Adjusting Imports of Aluminum into the United States” 
 
Proclamation:… https://t.co/2GahSEcox6",,False,Thu Mar 08 22:17:04 +0000 2018,11331,971872457182326784
43216,Twitter for iPhone,"Watch @MariaBartiromo at 6:00 P.M. on @FoxBusiness. Russian Hoax the big topic! Mainstream Media, often referred to… https://t.co/wOIuQSFzTl",,False,Sun Sep 16 21:40:19 +0000 2018,9830,1041441676949184512
81429,Twitter for iPhone,The Woodward book has already been refuted and discredited by General (Secretary of Defense) James Mattis and Gener… https://t.co/LtlBUGh9PI,,False,Tue Sep 04 23:18:08 +0000 2018,22451,1037117638101688320
83596,Twitter for iPhone,"Last night, it was my great honor to host America’s senior defense and military leaders for dinner at the White Hou… https://t.co/sa6xgJOMsX",,False,Tue Apr 10 13:30:35 +0000 2018,18060,983698762760704000
75748,Twitter for iPhone,California wildfires are being magnified &amp; made so much worse by the bad environmental laws which aren’t allowing m… https://t.co/V94EEYqoHv,,False,Mon Aug 06 21:53:42 +0000 2018,17385,1026587142989008897
101389,Twitter for iPhone,"Unbelievably, James Comey states that Polls, where Crooked Hillary was leading, were a factor in the handling (stup… https://t.co/0WH4arK3ft",,False,Sun Apr 15 11:42:33 +0000 2018,25612,985483513704124416
70964,Twitter for iPhone,"The reason that the small truck business in the U.S. is such a go to favorite is that, for many years, Tariffs of 2… https://t.co/XtFBz2Po4U",,False,Wed Nov 28 14:43:31 +0000 2018,17220,1067791101782831104
128040,Twitter for iPhone,"Would be very SMART if Mexico would stop the Caravans long before they get to our Southern Border, or if originatin… https://t.co/bAZjE2kSDE",,False,Sun Nov 25 13:28:30 +0000 2018,30558,1066685057648214018
45368,Twitter for iPhone,https://t.co/h43dehf0WV,,False,Tue Sep 25 15:27:35 +0000 2018,13271,1044609366970814465
136742,Twitter for iPhone,"Democrats, please do not distance yourselves from Nancy Pelosi. She is a wonderful person whose ideas &amp; policies ma… https://t.co/WSd4CvmFQL",,False,Fri Aug 10 21:30:43 +0000 2018,30911,1028030912095838208
166653,Twitter for iPhone,"If you don’t have Borders, you don’t have a Country!",,False,Tue Jun 19 13:52:18 +0000 2018,39221,1009071378371313664
125241,Twitter for iPhone,"Representative Devin Nunes, a man of tremendous courage and grit, may someday be recognized as a Great American Her… https://t.co/p7egMdnqQs",,False,Mon Feb 05 15:08:51 +0000 2018,32670,960530665702912000
114116,Twitter for iPhone,"DACA is probably dead because the Democrats don’t really want it, they just want to talk and take desperately neede… https://t.co/gZRLa3KopW",,False,Sun Jan 14 13:09:09 +0000 2018,25051,952528011869478912
86083,Twitter for iPhone,"Hundreds of good people, including very important Ambassadors and Judges, are being blocked and/or slow walked by t… https://t.co/ck2Ig9AZvs",,False,Wed Mar 14 13:02:11 +0000 2018,24221,973907142649397251
111242,Twitter for iPhone,"New Fox Poll shows a “40% Approval Rating by African Americans for President Trump, a record for Republicans.” Thank you, a great honor!",,False,Sun Nov 04 15:15:42 +0000 2018,27134,1059101889898430464
42688,Twitter for iPhone,There is only one way to stop this Democrat-Led assault on our sovereignty – you have to VOTE Republican TOMORROW!… https://t.co/CIjg0iG7o7,,False,Tue Nov 06 01:05:37 +0000 2018,12629,1059612735271505920
59169,Twitter for iPhone,WOW - Departing the White House shortly. See you soon Georgia! #MAGA https://t.co/Lk0SoU8pie https://t.co/Sn9D9o4fNZ,,False,Sun Nov 04 18:35:54 +0000 2018,15299,1059152270342975489
121494,Twitter for iPhone,Could somebody please explain to the Democrats (we need their votes) that our Country losses 250 Billion Dollars a… https://t.co/Z8nKReskdg,,False,Tue Dec 04 16:22:24 +0000 2018,36210,1069990310175014914
84948,Twitter for iPhone,"After having written many best selling books, and somewhat priding myself on my ability to write, it should be note… https://t.co/hh0aMWmvLk",,False,Tue Jul 03 23:13:34 +0000 2018,14429,1014286054805987330
50456,Twitter for iPhone,https://t.co/uIaENHQoPK,,False,Sat Oct 13 20:42:22 +0000 2018,11391,1051211563946975233
